"PublisherIC";"PublisherName";"Region";"NumberOfEmployees"
25479300;"Nemocnice Kadaň s.r.o.";"Ústecký kraj";250
25543571;"TEPLO Břeclav s.r.o.";"Jihomoravský kraj";20
25656112;"Pražská vodohospodářská společnost a.s.";"Praha";100
25857568;"OVANET a.s.";"Moravskoslezský kraj";50
25962523;"Městské lesy Hradec Králové a.s.";"Královéhradecký kraj";25
26944855;"Služby Boskovice,s.r.o.";"Jihomoravský kraj";50
27145573;"Czech Airlines Technics, a.s.";"Praha";500
28199081;"Jihoměstská majetková a.s.";"Praha";100
28825781;"PAP PARDUBICE o.p.s.";"Pardubický kraj";50
29099846;"POVED s. r. o.";"Plzeňský kraj";10
42660424;"ZOO PARK Vyškov, příspěvková organizace";"Jihomoravský kraj";25
44225831;"Zeměměřický a katastrální inspektorát v Liberci";"Liberecký kraj";10
44555288;"Domov pro seniory Velké Březno, příspěvková organizace";"Ústecký kraj";50
44685173;"Domov Jílové u Prahy, poskytovatel sociálních služeb";"Středočeský kraj";25
44994575;"Centrum dopravního výzkumu, v.v.i.";"Jihomoravský kraj";200
45245053;"ČESKÝ ROZHLAS";"Praha";1500
45251002;"Rada pro rozhlasové a televizní vysílání";"Praha";50
45354774;"BIC Plzeň, společnost s ručením omezeným";"Plzeňský kraj";10
46070753;"Základní škola s rozšířeným vyučováním matematiky a přírodovědných předmětů, Teplice, Buzulucká 392";"Ústecký kraj";50
46271040;"Základní škola Vyškov, Morávkova 40, příspěvková organizace";"Jihomoravský kraj";25
46354182;"Zaměstnanecká pojišťovna Škoda";"Středočeský kraj";50
46390375;"Základní umělecká škola Fr.Kmocha";"Středočeský kraj";50
46764593;"Základní škola a Mateřská škola, Žatec, Dvořákova 24, okres Louny";"Ústecký kraj";25
46789731;"Základní škola Chomutov, Školní 1480";"Ústecký kraj";50
46789766;"Základní škola Chomutov, Březenecká 4679";"Ústecký kraj";50
46789944;"Sociální služby Chomutov, příspěvková organizace";"Ústecký kraj";200
46937102;"S - centrum Hodonín, příspěvková organizace";"Jihomoravský kraj";100
47150904;"Vodohospodářská společnost ČERLINKA s.r.o.";"Olomoucký kraj";25
47151595;"Dům kultury  města Ostravy, a.s.";"Moravskoslezský kraj";50
47274573;"Domovy pro seniory Šluknov - Krásná Lípa, příspěvková organizace";"Ústecký kraj";100
47610361;"Základní škola u svatého Štěpána, Praha 2, Štěpánská 8 příspěvková organizace";"Praha";25
47657022;"Základní škola Olomouc, Heyrovského 33, příspěvková organizace";"Olomoucký kraj";100
47672315;"BM servis a.s.";"Moravskoslezský kraj";200
47813148;"Střední průmyslová škola stavební, Opava, příspěvková organizace";"Moravskoslezský kraj";25
47813482;"Základní škola, Opava, Havlíčkova 1, příspěvková organizace";"Moravskoslezský kraj";50
47813512;"Základní umělecká škola, Opava, příspěvková organizace";"Moravskoslezský kraj";50
47813539;"Základní umělecká škola Vladislava Vančury, Háj ve Slezsku, příspěvková organizace";"Moravskoslezský kraj";25
48134201;"Základní škola, Praha 2, Botičská 8";"Praha";25
48135143;"Základní umělecká škola, Praha 4 - Nusle, Lounských 4/129";"Praha";50
48161012;"Sportovní gymnázium, Pardubice, Dašická 268";"Pardubický kraj";25
48161161;"Střední průmyslová škola potravinářství a služeb Pardubice";"Pardubický kraj";25
48379794;"Domov sociálních služeb Liblín, příspěvková organizace";"Plzeňský kraj";50
48804894;"Domov Odry, příspěvková organizace";"Moravskoslezský kraj";50
48899097;"NOVOMĚSTSKÉ SOCIÁLNÍ SLUŽBY";"Kraj Vysočina";25
48954845;"Pečovatelská služba města Dobříše";"Středočeský kraj";6
49123947;"Výchovný ústav, středisko výchovné péče a střední škola Buškovice";"Ústecký kraj";50
49277600;"Česká centrála cestovního ruchu - CzechTourism";"Praha";50
49314670;"Gymnázium, Česká Třebová, Tyršovo náměstí 970";"Pardubický kraj";25
49314891;"Gymnázium Žamberk";"Pardubický kraj";25
49418823;"Základní škola Hodonín, Vančurova 2, příspěvková organizace";"Jihomoravský kraj";50
49466607;"Základní škola a Mateřská škola Brno, Milénova 14, příspěvková organizace";"Jihomoravský kraj";100
49625446;"Gymnázium, Praha 6, Nad Alejí 1952";"Praha";50
49748190;"Dům sociální péče Kralovice, příspěvková organizace";"Plzeňský kraj";50
49774859;"Odborná škola výroby a služeb, Plzeň, Vejprnická 56";"Plzeňský kraj";25
49778099;"Masarykovo gymnázium, Plzeň, Petákova 2";"Plzeňský kraj";50
60116935;"Masarykova obchodní akademie, Jičín, 17. listopadu 220";"Královéhradecký kraj";25
60153326;"Gymnázium a Střední odborná škola, Hostinné, Horská 309";"Královéhradecký kraj";25
60153385;"Výchovný ustav, střední škola a středisko výchovné péče, Hostinné";"Královéhradecký kraj";25
60165171;"Akademie věd České republiky";"Praha";100
60545992;"Střední škola průmyslová, technická a automobilní Jihlava";"Kraj Vysočina";100
60650737;"Dětský domov, Základní škola, Školní jídelna a Školní družina, Volyně, Školní 319";"Jihočeský kraj";25
60821221;"Střední odborná škola zdravotnická a Střední odborné učiliště, Český Krumlov, Tavírna 342";"Jihočeský kraj";25
60826801;"Teplárna Písek, a.s.";"Jihočeský kraj";100
61385271;"Gymnázium, Praha 5, Na Zatlance 11";"Praha";50
61716707;"Gymnázium Valašské Klobouky";"Zlínský kraj";25
61974757;"Dopravní podnik Ostrava a.s.";"Moravskoslezský kraj";2000
61985759;"Gymnázium Jana Blahoslava a Střední pedagogická škola, Přerov, Denisova 3";"Olomoucký kraj";50
61989991;"Základní škola Dr. Hrubého 2, Šternberk, příspěvková organizace";"Olomoucký kraj";50
62690001;"Dětský diagnostický ústav, středisko výchovné péče, základní škola a školní jídelna, Hradec Králové, Říčařova 277";"Královéhradecký kraj";100
63024616;"Střední škola, Základní škola a Mateřská škola, Karviná, příspěvková organizace";"Moravskoslezský kraj";50
63434504;"Základní škola a Mateřská škola Břeclav, Kpt. Nálepky 7, příspěvková organizace";"Jihomoravský kraj";25
63701332;"Dětský domov a Školní jídelna, Přerov, Sušilova 25";"Olomoucký kraj";20
64123421;"Městská knihovna Valašské Meziříčí, příspěvková organizace";"Zlínský kraj";10
64327809;"Základní škola při Fakultní nemocnici Brno, příspěvková organizace";"Jihomoravský kraj";25
64628795;"Městská knihovna Český Těšín";"Moravskoslezský kraj";25
65081803;"Základní umělecká škola, Varnsdorf, Národní 512, příspěvková organizace";"Ústecký kraj";25
65759800;"SPORTIS, příspěvková organizace";"Kraj Vysočina";50
65993390;"Ředitelství silnic a dálnic ČR";"Praha";2000
66289351;"Základní umělecká škola Broumov";"Královéhradecký kraj";25
67011748;"Mateřská škola, Základní škola a Praktická škola Znojmo, příspěvková organizace";"Jihomoravský kraj";50
67439241;"Základní umělecká škola, Náchod, Tyršova 247";"Královéhradecký kraj";25
67985823;"Fyziologický ústav AV ČR, v.v.i.";"Praha";500
67985831;"Geologický ústav AV ČR, v.v.i.";"Praha";100
67985874;"Ústav pro hydrodynamiku AV ČR, v.v.i.";"Praha";50
67985939;"Botanický ústav AV ČR, v.v.i.";"Středočeský kraj";250
69538549;"Městské kulturní a informační středisko v Humpolci";"Kraj Vysočina";10
70565813;"Státní ústav jaderné,chemické a biologické ochrany, v.v.i.";"Středočeský kraj";50
70631786;"Základní škola a mateřská škola Ostrava-Výškovice, Šeříková 33, příspěvková organizace";"Moravskoslezský kraj";50
70631808;"Čtyřlístek - centrum pro osoby se zdravotním postižením Ostrava, příspěvková organizace";"Moravskoslezský kraj";250
70631867;"Domov Korýtko, příspěvková organizace";"Moravskoslezský kraj";100
70838534;"Gymnázium a Střední odborná škola, Plasy";"Plzeňský kraj";50
70851042;"Domov pro seniory Burešov, příspěvková organizace";"Zlínský kraj";100
70856303;"Základní umělecká škola Josefa Slavíka, Hořovice, Palackého náměstí 253";"Středočeský kraj";20
70856788;"Státní fond rozvoje bydlení";"Praha";50
70878030;"Domov pro seniory Zahradní Město";"Praha";200
70886300;"Hasičský záchranný sbor Ústeckého kraje";"Ústecký kraj";500
70887276;"Domov pro seniory Vychodilova, příspěvková organizace";"Jihomoravský kraj";50
70890366;"Plzeňský kraj";"Plzeňský kraj";500
70919640;"Mateřská škola,Praha 8,Šiškova 2";"Praha";25
70923477;"Příspěvková organizace Městská sportovní zařízení v Litoměřicích";"Ústecký kraj";50
70947911;"Střední odborná škola waldorfská, Ostrava, příspěvková organizace";"Moravskoslezský kraj";10
70962642;"Dům kultury v Kroměříži, příspěvková organizace";"Zlínský kraj";25
70978352;"Základní škola a mateřská škola Ostrava - Bělský Les, B. Dvorského 1, příspěvková organizace";"Moravskoslezský kraj";50
70978956;"Státní oblastní archiv v Třeboni";"Jihočeský kraj";100
70979821;"Národní archiv";"Praha";100
70982333;"Městská knihovna Kyjov, příspěvková organizace města Kyjova";"Jihomoravský kraj";10
70984743;"Základní škola, Ostrava - Poruba, Porubská 832, příspěvková organizace";"Moravskoslezský kraj";50
70984794;"Základní škola, Ostrava - Poruba A. Hrdličky 1638, příspěvková organizace";"Moravskoslezský kraj";50
70999422;"Základní škola a mateřská škola Ostrava-Hošťálkovice, Výhledy 210, příspěvková organizace";"Moravskoslezský kraj";25
71009221;"Krajská hygienická stanice Zlínského kraje se sídlem ve Zlíně";"Zlínský kraj";100
71184601;"Domov bez zámku Náměšť nad Oslavou, příspěvková organizace";"Kraj Vysočina";50
71196234;"Základní škola Žďár nad Sázavou, Palachova 2189/35, příspěvková organizace";"Kraj Vysočina";50
71218840;"Centrum investic, rozvoje a inovací";"Královéhradecký kraj";50
71230629;"SOCIÁLNÍ SLUŽBY UHERSKÝ BROD, příspěvková organizace";"Zlínský kraj";25
71234918;"K-klub-středisko volného času, Jičín, Valdštejnovo nám. 99";"Královéhradecký kraj";10
71248234;"Správa majetku města Vyškova, příspěvková organizace";"Jihomoravský kraj";25
72038080;"RADA PRO VEŘEJNÝ DOHLED NAD AUDITEM";"Praha";25
72051612;"Krajské ředitelství policie Karlovarského kraje";"Karlovarský kraj";1500
72054506;"Správa základních registrů";"Praha";50
72063904;"Aquapark Uherské Hradiště,příspěvková organizace";"Zlínský kraj";25
72085428;"Střední škola zahradnická a technická Litomyšl";"Pardubický kraj";100
72556064;"Koordinátor Integrovaného dopravního systému Olomouckého kraje, příspěvková organizace";"Olomoucký kraj";20
72742348;"Mateřská škola \"Klubíčko\", Liberec, Jugoslávská 128/1, příspěvková organizace";"Liberecký kraj";10
72743301;"Mateřská škola \"Beruška\", Liberec, Na Pískovně 761/3, příspěvková organizace";"Liberecký kraj";10
72743379;"Základní škola, Liberec,Kaplického 384, příspěvková organizace";"Liberecký kraj";25
73184560;"Kulturní zařízení Ostrava-Jih, příspěvková organizace";"Moravskoslezský kraj";25
75004011;"Sociální služby pro seniory Šumperk, příspěvková organizace";"Olomoucký kraj";100
75004020;"Domov u Třebůvky Loštice, příspěvková organizace";"Olomoucký kraj";10
75007932;"Domov na zámku Bystré";"Pardubický kraj";100
75027135;"Základní škola a mateřská škola Hlučín-Darkovičky, příspěvková organizace";"Moravskoslezský kraj";20
75044498;"Dům dětí a mládeže, Prachatice, Ševčíkova 273";"Jihočeský kraj";25
75149541;"Domovy pro osoby se zdravotním postižením Ústí nad Labem, příspěvková organizace";"Ústecký kraj";100
75152304;"Záchranný útvar Hasičského záchranného sboru České republiky";"Moravskoslezský kraj";200
7536;"Palivový kombinát Ústí, státní podnik";"Ústecký kraj";250
20702;"Výzkumný ústav lesního hospodářství a myslivosti, v.v.i.";"Středočeský kraj";100
20729;"Státní fond životního prostředí České republiky";"Praha";500
24341;"Ministerstvo zdravotnictví";"Praha";500
24465;"Obvodní soud pro Prahu 9";"Praha";100
24724;"Okresní soud v Chebu";"Karlovarský kraj";100
24767;"Okresní soud Plzeň-jih";"Plzeňský kraj";50
24775;"Okresní soud Plzeň-sever";"Plzeňský kraj";50
24899;"Okresní soud v Mostě";"Ústecký kraj";100
24953;"Okresní soud v Chrudimi";"Pardubický kraj";50
25593;"ČESKÝ STATISTICKÝ ÚŘAD";"Praha";1000
26018;"Krajské státní zastupitelství v Praze";"Praha";250
26051;"KRAJSKÉ STÁTNÍ ZASTUPITELSTVÍ V HRADCI KRÁLOVÉ";"Královéhradecký kraj";200
27006;"Výzkumný ústav rostlinné výroby, v.v.i.";"Praha";250
64297;"Městská divadla pražská";"Praha";100
66451;"Technické služby města Mělníka, příspěvková organizace";"Středočeský kraj";25
69175;"Hotelová škola, Vyšší odborná škola hotelnictví a turismu a Jazyková škola s právem státní jazykové zkoušky, Poděbrady, Komenského 156/III";"Středočeský kraj";50
77461;"Integrovaná střední škola Cheb, příspěvková organizace";"Karlovarský kraj";100
89613;"Regionální muzeum v Mikulově, příspěvková organizace";"Jihomoravský kraj";25
93050;"KNIHOVNA MATĚJE JOSEFA SYCHRY, ŽĎÁR NAD SÁZAVOU";"Kraj Vysočina";10
96814;"Zoologická zahrada Olomouc, příspěvková organizace";"Olomoucký kraj";50
97381;"Technické služby Moravská Ostrava a Přívoz, p.o.";"Moravskoslezský kraj";100
97811;"Technické služby Lipník nad Bečvou, příspěvková organizace";"Olomoucký kraj";25
98892;"Fakultní nemocnice Olomouc";"Olomoucký kraj";4000
100340;"Střední odborná škola a Střední odborné učiliště podnikání a služeb, Jablunkov, Školní 416, příspěvková organizace";"Moravskoslezský kraj";25
100544;"Moravské divadlo Olomouc příspěvková organizace";"Olomoucký kraj";250
100609;"Vlastivědné muzeum v Olomouci";"Olomoucký kraj";50
179540;"Nemocnice Havlíčkův Brod, příspěvková organizace";"Kraj Vysočina";1000
216305;"Vysoké učení technické v Brně";"Jihomoravský kraj";3000
226912;"Nemocnice Kyjov, příspěvková organizace";"Jihomoravský kraj";1000
